s,p,o
country:ASM,Diabetes prevalence (% of population ages 20 to 79),20.3
country:ARE,Diabetes prevalence (% of population ages 20 to 79),16.4
country:ARM,Diabetes prevalence (% of population ages 20 to 79),5.6
country:AUS,Diabetes prevalence (% of population ages 20 to 79),6.4
country:ATG,Diabetes prevalence (% of population ages 20 to 79),11.7
country:AUT,Diabetes prevalence (% of population ages 20 to 79),4.6
country:BDI,Diabetes prevalence (% of population ages 20 to 79),6.5
country:BEN,Diabetes prevalence (% of population ages 20 to 79),1.1
country:AZE,Diabetes prevalence (% of population ages 20 to 79),5.6
country:BFA,Diabetes prevalence (% of population ages 20 to 79),2.1
country:BEL,Diabetes prevalence (% of population ages 20 to 79),3.6
country:BGR,Diabetes prevalence (% of population ages 20 to 79),7.4
country:BHR,Diabetes prevalence (% of population ages 20 to 79),11.3
country:BGD,Diabetes prevalence (% of population ages 20 to 79),14.2
country:BHS,Diabetes prevalence (% of population ages 20 to 79),8.8
country:BLR,Diabetes prevalence (% of population ages 20 to 79),5.6
country:BIH,Diabetes prevalence (% of population ages 20 to 79),9.1
country:BLZ,Diabetes prevalence (% of population ages 20 to 79),14.5
country:BMU,Diabetes prevalence (% of population ages 20 to 79),13.0
country:BRA,Diabetes prevalence (% of population ages 20 to 79),8.8
country:BOL,Diabetes prevalence (% of population ages 20 to 79),5.5
country:BRB,Diabetes prevalence (% of population ages 20 to 79),14.0
country:BRN,Diabetes prevalence (% of population ages 20 to 79),11.1
country:BWA,Diabetes prevalence (% of population ages 20 to 79),5.2
country:BTN,Diabetes prevalence (% of population ages 20 to 79),10.4
country:CAF,Diabetes prevalence (% of population ages 20 to 79),5.8
country:CHE,Diabetes prevalence (% of population ages 20 to 79),4.6
country:CAN,Diabetes prevalence (% of population ages 20 to 79),7.7
country:CHN,Diabetes prevalence (% of population ages 20 to 79),10.6
country:CMR,Diabetes prevalence (% of population ages 20 to 79),5.5
country:CHL,Diabetes prevalence (% of population ages 20 to 79),10.8
country:CIV,Diabetes prevalence (% of population ages 20 to 79),2.1
country:COG,Diabetes prevalence (% of population ages 20 to 79),5.5
country:COM,Diabetes prevalence (% of population ages 20 to 79),11.7
country:COD,Diabetes prevalence (% of population ages 20 to 79),5.8
country:COL,Diabetes prevalence (% of population ages 20 to 79),8.3
country:CRI,Diabetes prevalence (% of population ages 20 to 79),8.8
country:CUB,Diabetes prevalence (% of population ages 20 to 79),7.6
country:CPV,Diabetes prevalence (% of population ages 20 to 79),2.1
country:CYM,Diabetes prevalence (% of population ages 20 to 79),13.0
