s,p,o
country:TUR,Industry (including construction) value added (% of GDP),31.066
country:UGA,Industry (including construction) value added (% of GDP),27.0853
country:TUV,GDP (current US$),63101000.0
country:UGA,GDP (current US$),40434700000.0
country:TZA,GDP (current US$),67775100000.0
country:TUR,GDP (current US$),815272000000.0
country:TZA,GDP per capita (current LCU),2611740.0
country:TUR,GDP per capita (current LCU),84769.6
country:UGA,GDP per capita (current LCU),3139880.0
country:TUV,GDP per capita (current LCU),7044.03
country:UGA,GNI per capita (current LCU),3087570.0
country:TUV,GNI per capita (current LCU),9386.03
country:TUR,GNI per capita (current LCU),83518.6
country:TZA,GNI per capita (current LCU),2603550.0
country:URY,Gross national expenditure (current US$),55666500000.0
country:UKR,Gross national expenditure (current US$),202334000000.0
country:URY,Industry (including construction) value added (% of GDP),18.866
country:UKR,Industry (including construction) value added (% of GDP),23.4618
country:USA,GDP (current US$),22996100000000.0
country:UKR,GDP (current US$),200086000000.0
country:URY,GDP (current US$),59319500000.0
country:URY,GDP per capita (current LCU),741303.0
country:USA,GDP per capita (current LCU),69287.5
country:UKR,GDP per capita (current LCU),131944.0
country:USA,GNI per capita (current LCU),70483.8
country:UKR,GNI per capita (current LCU),128612.0
country:URY,GNI per capita (current LCU),678633.0
country:UZB,Gross national expenditure (current US$),80597000000.0
country:UZB,Industry (including construction) value added (% of GDP),32.0464
country:VCT,Industry (including construction) value added (% of GDP),13.4558
country:UZB,GDP (current US$),69238900000.0
country:VCT,GDP (current US$),889775000.0
country:UZB,GDP per capita (current LCU),21039300.0
country:VCT,GDP per capita (current LCU),21590.9
country:UZB,GNI per capita (current LCU),21100300.0
country:VCT,GNI per capita (current LCU),21475.0
country:VUT,GDP (current US$),983469000.0
country:VNM,GDP (current US$),362638000000.0
country:VUT,GDP per capita (current LCU),341298.0
country:VNM,GDP per capita (current LCU),85552700.0
country:VUT,GNI per capita (current LCU),353564.0
country:VNM,GNI per capita (current LCU),81787000.0
country:KAZ,Research and development expenditure (% of GDP),0.13245
country:PRK,Diabetes prevalence (% of population ages 20 to 79),8.6
country:PRY,Diabetes prevalence (% of population ages 20 to 79),7.5
country:PRT,Diabetes prevalence (% of population ages 20 to 79),9.1
country:PYF,Diabetes prevalence (% of population ages 20 to 79),25.2
country:PSE,Diabetes prevalence (% of population ages 20 to 79),9.2
country:ROU,Diabetes prevalence (% of population ages 20 to 79),6.5
country:RWA,Diabetes prevalence (% of population ages 20 to 79),6.5
country:QAT,Diabetes prevalence (% of population ages 20 to 79),19.5
country:RUS,Diabetes prevalence (% of population ages 20 to 79),5.6
country:SAU,Diabetes prevalence (% of population ages 20 to 79),18.7
country:SDN,Diabetes prevalence (% of population ages 20 to 79),18.9
country:SEN,Diabetes prevalence (% of population ages 20 to 79),3.1
country:SLB,Diabetes prevalence (% of population ages 20 to 79),19.8
country:SGP,Diabetes prevalence (% of population ages 20 to 79),11.6
country:SLE,Diabetes prevalence (% of population ages 20 to 79),2.1
country:SLV,Diabetes prevalence (% of population ages 20 to 79),6.3
country:SOM,Diabetes prevalence (% of population ages 20 to 79),6.5
country:SMR,Diabetes prevalence (% of population ages 20 to 79),7.4
country:SRB,Diabetes prevalence (% of population ages 20 to 79),9.1
country:SSD,Diabetes prevalence (% of population ages 20 to 79),6.5
country:STP,Diabetes prevalence (% of population ages 20 to 79),5.5
country:SVK,Diabetes prevalence (% of population ages 20 to 79),5.8
country:SUR,Diabetes prevalence (% of population ages 20 to 79),12.7
country:SVN,Diabetes prevalence (% of population ages 20 to 79),5.8
country:SWZ,Diabetes prevalence (% of population ages 20 to 79),4.6
country:SWE,Diabetes prevalence (% of population ages 20 to 79),5.0
country:SYC,Diabetes prevalence (% of population ages 20 to 79),8.5
country:SYR,Diabetes prevalence (% of population ages 20 to 79),14.9
country:TCD,Diabetes prevalence (% of population ages 20 to 79),5.8
country:TGO,Diabetes prevalence (% of population ages 20 to 79),2.1
country:TJK,Diabetes prevalence (% of population ages 20 to 79),6.6
country:THA,Diabetes prevalence (% of population ages 20 to 79),9.7
country:TKM,Diabetes prevalence (% of population ages 20 to 79),6.7
country:TLS,Diabetes prevalence (% of population ages 20 to 79),8.6
country:TTO,Diabetes prevalence (% of population ages 20 to 79),12.7
country:TON,Diabetes prevalence (% of population ages 20 to 79),15.0
country:TUR,Diabetes prevalence (% of population ages 20 to 79),14.5
country:TZA,Diabetes prevalence (% of population ages 20 to 79),12.3
country:TUN,Diabetes prevalence (% of population ages 20 to 79),9.6
country:TUV,Diabetes prevalence (% of population ages 20 to 79),20.3
country:UKR,Diabetes prevalence (% of population ages 20 to 79),5.6
country:URY,Diabetes prevalence (% of population ages 20 to 79),9.0
country:UGA,Diabetes prevalence (% of population ages 20 to 79),4.6
country:UZB,Diabetes prevalence (% of population ages 20 to 79),7.0
country:VEN,Diabetes prevalence (% of population ages 20 to 79),9.6
country:USA,Diabetes prevalence (% of population ages 20 to 79),10.7
country:VCT,Diabetes prevalence (% of population ages 20 to 79),8.0
country:VIR,Diabetes prevalence (% of population ages 20 to 79),12.4
country:VNM,Diabetes prevalence (% of population ages 20 to 79),6.1
country:VGB,Diabetes prevalence (% of population ages 20 to 79),8.7
country:VUT,Diabetes prevalence (% of population ages 20 to 79),15.6
country:WSM,Diabetes prevalence (% of population ages 20 to 79),9.2
country:YEM,Diabetes prevalence (% of population ages 20 to 79),5.4
country:ZMB,Diabetes prevalence (% of population ages 20 to 79),11.9
country:ZAF,Diabetes prevalence (% of population ages 20 to 79),10.8
country:ZWE,Diabetes prevalence (% of population ages 20 to 79),2.1
